member_id,prioritization_score,rank
121,0.29003102,1
3195,0.2659135,2
8746,0.25396043,3
1496,0.24786809,4
8005,0.23005927,5
4939,0.23004507,6
339,0.22691157,7
3547,0.22173108,8
7447,0.21605176,9
1989,0.21576774,10
6796,0.21334976,11
2586,0.20609935,12
5746,0.20222244,13
6083,0.18983497,14
6486,0.18278775,15
5568,0.1807878,16
8112,0.17724158,17
2242,0.1759502,18
5269,0.17579904,19
4007,0.17526731,20
4217,0.17243299,21
8144,0.1707705,22
5043,0.16904876,23
697,0.16880076,24
7501,0.16738744,25
8182,0.16678073,26
18,0.16279283,27
6495,0.16218016,28
1304,0.16206396,29
4234,0.16043277,30
5095,0.1604103,31
439,0.16025071,32
8148,0.15980253,33
4243,0.15927479,34
9179,0.15700522,35
3400,0.15686506,36
5871,0.15629618,37
800,0.15299334,38
6999,0.15230712,39
276,0.15182231,40
9620,0.15027513,41
2630,0.14940786,42
8172,0.14850695,43
6853,0.1484085,44
5139,0.14798568,45
792,0.14607233,46
9345,0.14533338,47
2310,0.14417844,48
485,0.1440942,49
7113,0.14395215,50
8655,0.14363685,51
7548,0.1435203,52
2673,0.14326113,53
8889,0.1428302,54
2719,0.14167416,55
6875,0.14127453,56
5283,0.140455,57
6698,0.13934039,58
7638,0.13837668,59
9083,0.137912,60
8725,0.13777103,61
8291,0.13701591,62
717,0.13633221,63
411,0.13570926,64
6530,0.13517916,65
9394,0.13507274,66
7066,0.13448751,67
6362,0.13441528,68
5820,0.13333808,69
2714,0.13329701,70
9878,0.13300516,71
8478,0.13190335,72
5590,0.13122708,73
2105,0.13120838,74
4916,0.13042255,75
3840,0.1300346,76
2076,0.12997802,77
7293,0.12928644,78
1043,0.129056,79
4465,0.12876984,80
9923,0.12869054,81
8396,0.12857187,82
7067,0.12775818,83
5857,0.12767296,84
7003,0.12708646,85
9062,0.1265787,86
5406,0.12651289,87
5571,0.12637308,88
5372,0.12597533,89
5546,0.12578219,90
4934,0.12573391,91
5775,0.12504098,92
9803,0.12485245,93
9298,0.12407128,94
4052,0.12366818,95
8227,0.12363404,96
2198,0.12291791,97
2601,0.12203244,98
4728,0.12193874,99
4923,0.12164575,100
1931,0.12163178,101
6510,0.1212298,102
2697,0.12109245,103
5065,0.12093047,104
6349,0.12076763,105
9005,0.120442346,106
1202,0.12023713,107
1327,0.12002108,108
5736,0.11986284,109
1632,0.11920884,110
1065,0.11891665,111
2781,0.11796766,112
8856,0.117828235,113
270,0.11782771,114
7428,0.117799,115
6329,0.11772518,116
3867,0.117327005,117
343,0.1165584,118
26,0.115727745,119
9142,0.11560337,120
1571,0.11521961,121
4129,0.11502355,122
4858,0.114997745,123
5308,0.114752576,124
2041,0.11457938,125
1588,0.11317414,126
5901,0.11250481,127
3610,0.11212619,128
6079,0.111766174,129
534,0.111660846,130
636,0.111475416,131
7485,0.11108677,132
1685,0.11107771,133
2741,0.11028205,134
3978,0.10991512,135
7036,0.10989957,136
4054,0.10989933,137
2988,0.109702304,138
1986,0.10948008,139
5649,0.10933469,140
4661,0.10923399,141
6710,0.109200284,142
547,0.108781114,143
9828,0.108714744,144
3388,0.108707756,145
4792,0.10856148,146
2108,0.10753968,147
9964,0.10725133,148
199,0.106647074,149
3498,0.10653263,150
6800,0.10631146,151
3453,0.105303384,152
2581,0.10529247,153
4820,0.105270505,154
348,0.10487315,155
5405,0.104861826,156
1142,0.10463211,157
8015,0.10443239,158
6707,0.1043017,159
2333,0.1042828,160
315,0.1042759,161
5679,0.104197755,162
656,0.10377962,163
7955,0.10360933,164
8985,0.103453234,165
7730,0.103177324,166
4517,0.10279499,167
4149,0.10261652,168
3727,0.102559626,169
3505,0.10196083,170
2918,0.10149801,171
3581,0.10109584,172
8557,0.100958765,173
4375,0.10074237,174
6087,0.1004488,175
7698,0.10011629,176
5795,0.099927396,177
3798,0.099773206,178
6938,0.099331915,179
6240,0.099265024,180
9553,0.09916963,181
8628,0.09821646,182
5758,0.097464286,183
9428,0.09742207,184
5448,0.09740065,185
9004,0.09735934,186
5451,0.0971899,187
5023,0.097175136,188
1110,0.09701842,189
6650,0.09693986,190
1721,0.096858874,191
6833,0.09679252,192
6001,0.0965533,193
1965,0.09651477,194
8293,0.09651214,195
9012,0.09636696,196
9625,0.09559579,197
864,0.09558145,198
